Data,Abertura,Máxima,Mínima,Fechamento
2021-07-12,127620,127625,127585,127595
2021-07-12,127625,127635,127605,127620
2021-07-12,127660,127665,127600,127630
2021-07-12,127650,127690,127640,127665
2021-07-12,127640,127655,127625,127645
2021-07-12,127630,127660,127615,127640
2021-07-12,127575,127645,127570,127635
2021-07-12,127585,127605,127570,127575
2021-07-12,127575,127615,127565,127585
2021-07-12,127585,127605,127575,127580
2021-07-12,127615,127630,127575,127585
2021-07-12,127625,127635,127600,127615
2021-07-12,127655,127665,127615,127625
2021-07-12,127590,127680,127575,127655
2021-07-12,127585,127605,127575,127590
2021-07-12,127535,127605,127520,127585
2021-07-12,127555,127565,127515,127530
2021-07-12,127575,127580,127545,127550
2021-07-12,127575,127585,127540,127575
2021-07-12,127565,127585,127540,127570
2021-07-12,127595,127605,127545,127560
2021-07-12,127565,127620,127555,127600
2021-07-12,127545,127575,127530,127560
2021-07-12,127490,127590,127475,127545
2021-07-12,127460,127500,127460,127485
2021-07-12,127515,127525,127455,127460
2021-07-12,127380,127535,127380,127515
2021-07-12,127275,127400,127270,127380
2021-07-12,127280,127290,127230,127270
2021-07-12,127225,127295,127225,127280
2021-07-12,127215,127250,127210,127225
2021-07-12,127200,127270,127185,127215
2021-07-12,127230,127230,127180,127200
2021-07-12,127215,127245,127210,127225
2021-07-12,127145,127245,127130,127215
2021-07-12,127160,127185,127140,127150
2021-07-12,127160,127200,127140,127165
2021-07-12,127200,127210,127150,127165
2021-07-12,127185,127215,127150,127200
2021-07-12,127185,127225,127150,127180
2021-07-12,127130,127230,127130,127185
2021-07-12,127135,127165,127125,127130
2021-07-12,127150,127155,127120,127135
2021-07-12,127145,127165,127130,127145
2021-07-12,127125,127175,127110,127145
2021-07-12,127165,127185,127125,127125
2021-07-12,127140,127195,127130,127160
2021-07-12,127145,127180,127130,127140
2021-07-12,127190,127220,127120,127145
2021-07-12,127165,127225,127155,127190
2021-07-12,127100,127190,127075,127170
2021-07-12,127045,127110,127040,127105
2021-07-12,127055,127085,127035,127045
2021-07-12,127075,127100,127035,127055
2021-07-12,127115,127125,127050,127075
2021-07-12,127175,127190,127090,127115
2021-07-12,127185,127215,127155,127175
2021-07-12,127165,127190,127150,127185
2021-07-12,127130,127170,127110,127170
2021-07-12,127150,127150,127110,127130
2021-07-12,127200,127215,127110,127150
2021-07-12,127165,127250,127145,127200
2021-07-12,127145,127225,127145,127165
2021-07-12,127010,127165,126990,127150
2021-07-12,127015,127035,126995,127010
2021-07-12,127000,127060,126970,127015
2021-07-12,127040,127050,126990,127000
2021-07-12,127015,127055,126990,127040
2021-07-12,127015,127065,126990,127010
2021-07-12,127030,127060,127010,127015
2021-07-12,127040,127120,127020,127030
2021-07-12,127080,127085,127010,127045
