Data,Fechamento
2021-07-08,125925
2021-07-08,125935
2021-07-08,125925
2021-07-08,125905
2021-07-08,125980
2021-07-08,126045
2021-07-08,126020
2021-07-08,126040
2021-07-08,126025
2021-07-08,126030
2021-07-08,126075
2021-07-08,126070
2021-07-08,126035
2021-07-08,126035
2021-07-08,125990
2021-07-08,125940
2021-07-08,126050
2021-07-08,126070
2021-07-08,126085
2021-07-08,126020
2021-07-08,125970
2021-07-08,125900
2021-07-08,125885
2021-07-08,125970
2021-07-08,126130
2021-07-08,126155
2021-07-08,126170
2021-07-08,126200
2021-07-08,126150
2021-07-08,126240
2021-07-08,126245
2021-07-08,126235
2021-07-08,126180
2021-07-08,126195
2021-07-08,126250
2021-07-08,126215
2021-07-08,126165
2021-07-08,126190
2021-07-08,126230
2021-07-08,126270
2021-07-08,126275
2021-07-08,126335
2021-07-08,126350
2021-07-08,126380
2021-07-08,126390
2021-07-08,126345
2021-07-08,126400
2021-07-08,126220
2021-07-08,126140
2021-07-08,126155
2021-07-08,126125
2021-07-08,126120
2021-07-08,126175
2021-07-08,126180
2021-07-08,126190
2021-07-08,126230
2021-07-08,126215
2021-07-08,126195
2021-07-08,126120
2021-07-08,126130
2021-07-08,126205
2021-07-08,126150
2021-07-08,126185
2021-07-08,126205
2021-07-08,126195
2021-07-08,126150
2021-07-08,126165
2021-07-08,126110
2021-07-08,126170
2021-07-08,126120
2021-07-08,126065
2021-07-08,126040
2021-07-08,126075
2021-07-08,126100
2021-07-08,126225
2021-07-08,126165
2021-07-08,126105
2021-07-08,126000
2021-07-08,125965
2021-07-08,125970
2021-07-08,126020
2021-07-08,126010
2021-07-08,126040
2021-07-08,126055
2021-07-08,126065
2021-07-08,126065
2021-07-08,126075
2021-07-08,126105
2021-07-08,126050
2021-07-08,126110
2021-07-08,126090
2021-07-08,126070
2021-07-08,126025
2021-07-08,126080
