Time (CAT);Open;High;Low;Close;Volume 
17/12/2013 00:00:00;1.62969;1.63359;1.62189;1.62628;77897.58
18/12/2013 00:00:00;1.62629;1.64836;1.62611;1.63896;111969.93
19/12/2013 00:00:00;1.63899;1.63972;1.6335;1.63686;84570.36
20/12/2013 00:00:00;1.63684;1.63948;1.63157;1.63285;86332.72
23/12/2013 00:00:00;1.63355;1.63749;1.63231;1.63547;61956.16
24/12/2013 00:00:00;1.63546;1.63814;1.63222;1.63637;45370.71
25/12/2013 00:00:00;1.63628;1.63647;1.63351;1.63506;1596.27
26/12/2013 00:00:00;1.63412;1.64378;1.63403;1.6409;53349.9
27/12/2013 00:00:00;1.6409;1.65772;1.64054;1.64807;97629.91
30/12/2013 00:00:00;1.64768;1.65324;1.64599;1.64997;70840.58
31/12/2013 00:00:00;1.64993;1.6579;1.64743;1.65489;66997.16
01/01/2014 00:00:00;1.65501;1.65501;1.65501;1.65501;0.75
02/01/2014 00:00:00;1.65616;1.66031;1.64111;1.64513;107425.5
03/01/2014 00:00:00;1.64513;1.64737;1.6395;1.64171;106237.37
06/01/2014 00:00:00;1.64026;1.64337;1.6337;1.64048;95999.01
07/01/2014 00:00:00;1.64045;1.6438;1.6374;1.64014;81907.92
08/01/2014 00:00:00;1.64014;1.64719;1.63763;1.64482;88264.51
09/01/2014 00:00:00;1.64483;1.64972;1.6441;1.64801;86509.82
10/01/2014 00:00:00;1.648;1.6517;1.63805;1.64785;93238.16
13/01/2014 00:00:00;1.64829;1.65076;1.63469;1.63829;84283.23
14/01/2014 00:00:00;1.63828;1.64642;1.63673;1.64383;84830.3
15/01/2014 00:00:00;1.6439;1.64427;1.63215;1.63698;89594.3
16/01/2014 00:00:00;1.63701;1.63831;1.63141;1.63534;84537.1
17/01/2014 00:00:00;1.63531;1.6458;1.6309;1.64206;83526.04
20/01/2014 00:00:00;1.64167;1.64519;1.63949;1.64274;52786.32
21/01/2014 00:00:00;1.64274;1.64854;1.63993;1.64758;79647.44
22/01/2014 00:00:00;1.64757;1.65872;1.64505;1.6574;86708.07
23/01/2014 00:00:00;1.65739;1.66428;1.65566;1.6637;107074.36
24/01/2014 00:00:00;1.6637;1.66679;1.64772;1.64772;108955.36
27/01/2014 00:00:00;1.65033;1.65883;1.64736;1.65841;89168.23
28/01/2014 00:00:00;1.65841;1.66253;1.65357;1.65793;80142.25
29/01/2014 00:00:00;1.65793;1.66065;1.65253;1.65619;96659.98
30/01/2014 00:00:00;1.65618;1.65672;1.64448;1.64844;97574.09
31/01/2014 00:00:00;1.64848;1.64976;1.64272;1.64352;104850.27
03/02/2014 00:00:00;1.64186;1.64405;1.62902;1.63036;103039.32
04/02/2014 00:00:00;1.6304;1.63444;1.62566;1.63246;93123.93
05/02/2014 00:00:00;1.63247;1.63408;1.62522;1.63087;92361.63
06/02/2014 00:00:00;1.63085;1.63485;1.62724;1.63205;87677.78
07/02/2014 00:00:00;1.63206;1.6418;1.62997;1.64077;88068.12
10/02/2014 00:00:00;1.63965;1.64272;1.63827;1.64023;66092.02
11/02/2014 00:00:00;1.64023;1.64872;1.63922;1.6448;83578.23
12/02/2014 00:00:00;1.64503;1.65996;1.64255;1.65948;105613.92
13/02/2014 00:00:00;1.65948;1.66732;1.6593;1.66578;106412.16
14/02/2014 00:00:00;1.6658;1.67554;1.66441;1.67476;84835.82
17/02/2014 00:00:00;1.67687;1.68223;1.66956;1.67139;79235.45
18/02/2014 00:00:00;1.67132;1.67413;1.66551;1.66827;97116.61
19/02/2014 00:00:00;1.66826;1.67339;1.66367;1.66789;87492.44
20/02/2014 00:00:00;1.66788;1.66999;1.6625;1.66505;85371.87
21/02/2014 00:00:00;1.66495;1.67249;1.66112;1.6615;84526.93
24/02/2014 00:00:00;1.66269;1.66786;1.65834;1.66557;72616.49
25/02/2014 00:00:00;1.66557;1.6727;1.66421;1.668;87425.52
26/02/2014 00:00:00;1.66799;1.67015;1.66216;1.66711;84306.44
27/02/2014 00:00:00;1.66711;1.66987;1.66163;1.66878;86483.42
28/02/2014 00:00:00;1.66877;1.6769;1.6676;1.674;98781.3
03/03/2014 00:00:00;1.67124;1.67511;1.6653;1.66659;89333.97
