Data,Fechamento
2021-06-29,127540
2021-06-29,127440
2021-06-29,127435
2021-06-29,127420
2021-06-29,127440
2021-06-29,127425
2021-06-29,127405
2021-06-29,127375
2021-06-29,127365
2021-06-29,127395
2021-06-29,127390
2021-06-29,127410
2021-06-29,127420
2021-06-29,127445
2021-06-29,127445
2021-06-29,127495
2021-06-29,127475
2021-06-29,127475
2021-06-29,127495
2021-06-29,127500
2021-06-29,127475
2021-06-29,127470
2021-06-29,127470
2021-06-29,127490
2021-06-29,127445
2021-06-29,127420
2021-06-29,127380
2021-06-29,127330
2021-06-29,127300
2021-06-29,127295
2021-06-29,127330
2021-06-29,127345
2021-06-29,127330
2021-06-29,127315
2021-06-29,127325
2021-06-29,127345
2021-06-29,127350
2021-06-29,127340
2021-06-29,127350
2021-06-29,127370
2021-06-29,127305
2021-06-29,127315
2021-06-29,127320
2021-06-29,127295
2021-06-29,127295
2021-06-29,127370
2021-06-29,127380
2021-06-29,127425
2021-06-29,127415
2021-06-29,127410
2021-06-29,127395
2021-06-29,127405
2021-06-29,127440
2021-06-29,127415
2021-06-29,127435
2021-06-29,127520
2021-06-29,127540
2021-06-29,127510
2021-06-29,127560
2021-06-29,127515
2021-06-29,127495
2021-06-29,127470
2021-06-29,127460
2021-06-29,127505
2021-06-29,127440
2021-06-29,127405
2021-06-29,127430
2021-06-29,127415
2021-06-29,127410
2021-06-29,127455
2021-06-29,127475
2021-06-29,127535
2021-06-29,127535
2021-06-29,127545
2021-06-29,127490
2021-06-29,127480
2021-06-29,127550
2021-06-29,127580
2021-06-29,127575
2021-06-29,127540
2021-06-29,127510
2021-06-29,127575
2021-06-29,127580
2021-06-29,127580
2021-06-29,127575
2021-06-29,127495
2021-06-29,127520
2021-06-29,127445
2021-06-29,127505
2021-06-29,127530
2021-06-29,127415
2021-06-29,127395
2021-06-29,127375
2021-06-29,127340
2021-06-29,127310
2021-06-29,127300
2021-06-29,127295
2021-06-29,127285
2021-06-29,127270
2021-06-29,127280
2021-06-29,127305
2021-06-29,127315
2021-06-29,127320
2021-06-29,127345
2021-06-29,127370
2021-06-29,127420
2021-06-29,127465
2021-06-29,127425
2021-06-29,127435
2021-06-29,127380
2021-06-29,127325
2021-06-29,127325
2021-06-29,127325
2021-06-29,127260
2021-06-29,127240
2021-06-29,127275
2021-06-29,127280
2021-06-29,127245
2021-06-29,127205
2021-06-29,127080
2021-06-29,127195
2021-06-29,127200
2021-06-29,127195
2021-06-29,127225
2021-06-29,127230
2021-06-29,127240
2021-06-29,127230
2021-06-29,127270
2021-06-29,127295
2021-06-29,127290
2021-06-29,127290
2021-06-29,127285
2021-06-29,127285
2021-06-29,127290
2021-06-29,127285
2021-06-29,127185
2021-06-29,127230
2021-06-29,127285
2021-06-29,127320
2021-06-29,127300
2021-06-29,127255
2021-06-29,127230
2021-06-29,127315
2021-06-29,127435
2021-06-29,127380
2021-06-29,127470
2021-06-29,127495
2021-06-29,127505
2021-06-29,127550
2021-06-29,127600
2021-06-29,127600
2021-06-29,127565
2021-06-29,127550
2021-06-29,127505
2021-06-29,127535
